image_id,model,min_ssim_value,min_row,min_col,total_rows,total_cols,distance_to_boundary,normalized_distance,is_boundary
00004007_027,model1_TAA_standard,0.0456,1,101,128,128,1,0.015625,True
00004007_029,model1_TAA_standard,0.0733,118,126,128,128,1,0.015625,True
00004008_000,model1_TAA_standard,0.0667,16,126,128,128,1,0.015625,True
00004018_000,model1_TAA_standard,-0.0884,0,31,128,128,0,0.0,True
00004021_000,model1_TAA_standard,0.0693,65,127,128,128,0,0.0,True
00004021_001,model1_TAA_standard,0.1101,97,0,128,128,0,0.0,True
00004022_000,model1_TAA_standard,0.0528,46,127,128,128,0,0.0,True
00006585_008,model1_TAA_standard,0.0954,127,47,128,128,0,0.0,True
00006585_013,model1_TAA_standard,0.076,127,46,128,128,0,0.0,True
00006586_005,model1_TAA_standard,0.0544,0,53,128,128,0,0.0,True
00006588_003,model1_TAA_standard,0.1037,26,0,128,128,0,0.0,True
00006596_006,model1_TAA_standard,0.0842,127,110,128,128,0,0.0,True
00006600_001,model1_TAA_standard,0.0453,1,0,128,128,0,0.0,True
00006604_002,model1_TAA_standard,0.1125,34,127,128,128,0,0.0,True
00006605_000,model1_TAA_standard,0.0269,18,126,128,128,1,0.015625,True
00006605_009,model1_TAA_standard,0.1048,127,79,128,128,0,0.0,True
00006605_012,model1_TAA_standard,0.0966,127,121,128,128,0,0.0,True
00006605_018,model1_TAA_standard,0.0781,127,100,128,128,0,0.0,True
00006605_021,model1_TAA_standard,0.0522,127,49,128,128,0,0.0,True
00006605_038,model1_TAA_standard,0.1077,124,0,128,128,0,0.0,True
00006605_044,model1_TAA_standard,0.1045,127,94,128,128,0,0.0,True
00006610_002,model1_TAA_standard,0.0933,100,127,128,128,0,0.0,True
00006612_001,model1_TAA_standard,0.0147,28,127,128,128,0,0.0,True
00006614_004,model1_TAA_standard,-0.0168,122,127,128,128,0,0.0,True
00006618_000,model1_TAA_standard,0.0581,43,0,128,128,0,0.0,True
00006621_003,model1_TAA_standard,-0.051,3,0,128,128,0,0.0,True
00006621_005,model1_TAA_standard,0.1111,88,0,128,128,0,0.0,True
00006621_006,model1_TAA_standard,0.0601,127,50,128,128,0,0.0,True
00006622_002,model1_TAA_standard,0.1079,0,53,128,128,0,0.0,True
00006624_002,model1_TAA_standard,0.0943,0,84,128,128,0,0.0,True
00006624_003,model1_TAA_standard,0.0516,127,127,128,128,0,0.0,True
00006626_001,model1_TAA_standard,0.068,15,127,128,128,0,0.0,True
00006628_001,model1_TAA_standard,0.0736,0,54,128,128,0,0.0,True
00006631_005,model1_TAA_standard,0.09,49,127,128,128,0,0.0,True
00006632_001,model1_TAA_standard,0.0547,107,0,128,128,0,0.0,True
00006634_001,model1_TAA_standard,0.0995,40,127,128,128,0,0.0,True
00006634_003,model1_TAA_standard,0.0881,127,70,128,128,0,0.0,True
00006634_004,model1_TAA_standard,0.0937,49,127,128,128,0,0.0,True
00006634_006,model1_TAA_standard,-0.0891,121,127,128,128,0,0.0,True
00006635_005,model1_TAA_standard,0.0467,99,127,128,128,0,0.0,True
00006637_001,model1_TAA_standard,0.0667,31,127,128,128,0,0.0,True
00006640_000,model1_TAA_standard,0.0928,0,60,128,128,0,0.0,True
00006640_002,model1_TAA_standard,0.1103,0,62,128,128,0,0.0,True
00006641_000,model1_TAA_standard,-0.0162,1,6,128,128,1,0.015625,True
00006642_005,model1_TAA_standard,0.1036,0,123,128,128,0,0.0,True
00006642_006,model1_TAA_standard,0.1017,127,88,128,128,0,0.0,True
00006642_007,model1_TAA_standard,0.0825,0,53,128,128,0,0.0,True
00006642_010,model1_TAA_standard,0.106,127,101,128,128,0,0.0,True
00006642_011,model1_TAA_standard,0.0958,58,127,128,128,0,0.0,True
00006642_012,model1_TAA_standard,0.0423,0,75,128,128,0,0.0,True
00006642_013,model1_TAA_standard,0.0999,49,127,128,128,0,0.0,True
00006642_014,model1_TAA_standard,0.0791,0,76,128,128,0,0.0,True
00006642_015,model1_TAA_standard,0.0589,0,63,128,128,0,0.0,True
00006642_016,model1_TAA_standard,0.0913,127,111,128,128,0,0.0,True
00006642_018,model1_TAA_standard,0.0626,0,57,128,128,0,0.0,True
00006642_019,model1_TAA_standard,0.0891,33,127,128,128,0,0.0,True
00006642_021,model1_TAA_standard,0.1068,0,60,128,128,0,0.0,True
00006642_023,model1_TAA_standard,0.0999,127,85,128,128,0,0.0,True
00006642_024,model1_TAA_standard,0.1097,127,98,128,128,0,0.0,True
00006642_025,model1_TAA_standard,0.088,127,92,128,128,0,0.0,True
00006642_026,model1_TAA_standard,0.1086,127,78,128,128,0,0.0,True
00006642_027,model1_TAA_standard,0.0544,0,80,128,128,0,0.0,True
00006642_028,model1_TAA_standard,0.111,47,0,128,128,0,0.0,True
00006642_030,model1_TAA_standard,0.1079,96,0,128,128,0,0.0,True
00006642_032,model1_TAA_standard,0.0927,0,3,128,128,0,0.0,True
00006642_033,model1_TAA_standard,0.0312,0,20,128,128,0,0.0,True
00006642_034,model1_TAA_standard,0.0713,0,17,128,128,0,0.0,True
00006642_036,model1_TAA_standard,0.0693,53,0,128,128,0,0.0,True
00006642_038,model1_TAA_standard,0.081,127,41,128,128,0,0.0,True
00006642_039,model1_TAA_standard,0.0897,64,127,128,128,0,0.0,True
00006642_040,model1_TAA_standard,0.0689,92,127,128,128,0,0.0,True
00006642_042,model1_TAA_standard,0.0918,0,58,128,128,0,0.0,True
00006643_000,model1_TAA_standard,0.0148,127,103,128,128,0,0.0,True
00006646_000,model1_TAA_standard,0.0619,1,99,128,128,1,0.015625,True
00006647_004,model1_TAA_standard,0.0625,38,127,128,128,0,0.0,True
00006647_005,model1_TAA_standard,0.068,38,127,128,128,0,0.0,True
00006648_000,model1_TAA_standard,0.0901,127,100,128,128,0,0.0,True
00006648_001,model1_TAA_standard,0.1037,127,95,128,128,0,0.0,True
00006652_001,model1_TAA_standard,0.0828,34,127,128,128,0,0.0,True
00006653_003,model1_TAA_standard,0.1126,0,92,128,128,0,0.0,True
00006653_008,model1_TAA_standard,-0.0496,1,1,128,128,1,0.015625,True
00006653_010,model1_TAA_standard,0.1095,119,125,128,128,2,0.03125,True
