image_id,model,original_path,upscaled_path,original_width,original_height,original_format,upscaled_width,upscaled_height,upscaled_format,ssim,ms_ssim,psnr,lpips,sharpness,sharpness_diff_pct,contrast,contrast_diff_pct,entropy,noise,edge_density,edge_diff_pct,artifact_block,artifact_ringing,artifact_total,delta_e,high_freq_ratio,texture_complexity,local_quality_mean,local_quality_std,local_quality_min,histogram_corr,lab_L_mean,total_score,detection_count,detected_patterns,confidence_level
00000005_001,model1_TAA_standard,E:\Analysis\images_base\00000005_001.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000005_001_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9841,0.9942,35.2,0.109,2.21,-70.2,47.55,-1.5,7.004,2.23,0.44,-48.1,204.65,66.33,270.98,0.88,0.4796018511759596,3.081009336747229,0.9696,0.098,0.0895,0.9914,169.04114627838135,51.5,4,"P1:SSIM高×PSNR低, P6:品質ばらつき大, P7:Entropy低×高周波高, 単独:Low Entropy",Medium
00000005_002,model1_TAA_standard,E:\Analysis\images_base\00000005_002.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000005_002_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9764,0.9943,36.17,0.1879,0.98,-82.0,44.41,-1.3,7.137,1.63,0.28,-34.3,166.04,55.05,221.09,0.89,0.4182288771940803,2.9850177001208067,0.967,0.0715,0.2094,0.9444,129.29241847991943,51.3,1,P7:Entropy低×高周波高,Low
00000005_003,model1_TAA_standard,E:\Analysis\images_base\00000005_003.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000005_003_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9444,0.9913,39.94,0.2389,0.29,-77.4,72.04,-0.5,7.3,1.93,0.04,-28.1,254.93,41.4,296.33,0.95,0.3026215898359761,4.2998350225389,0.9443,0.0342,0.3365,0.9721,112.42020511627196,57.1,2,"単独:Low Sharpness, 単独:Low EdgeDensity",Low
00000005_004,model1_TAA_standard,E:\Analysis\images_base\00000005_004.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000005_004_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9422,0.9912,39.49,0.2382,0.51,-63.1,68.32,-0.4,7.438,2.16,0.1,10.5,299.68,42.08,341.76,1.01,0.3292239837102831,4.9562023021280766,0.9431,0.0328,0.4017,0.9397,110.08106517791748,57.6,0,None,Normal
00000005_005,model1_TAA_standard,E:\Analysis\images_base\00000005_005.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000005_005_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9396,0.99,38.51,0.2717,0.85,-64.6,63.6,-0.6,7.746,2.44,0.17,-34.0,308.79,54.65,363.44,1.06,0.3294942902607201,5.087503306567669,0.9376,0.0547,0.0282,0.6229,129.00865077972412,57.6,1,P9:MS-SSIM低×SSIM低,Low
00000005_006,model1_TAA_standard,E:\Analysis\images_base\00000005_006.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000005_006_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9151,0.9916,38.67,0.1939,0.49,-48.5,68.71,0.6,7.265,2.13,0.14,121.0,293.02,44.98,338.0,1.03,0.3362642447757512,4.830866027623415,0.9128,0.1106,0.3704,0.1337,94.75084686279295,57.2,5,"P6:品質ばらつき大, 単独:Low SSIM, 単独:Low LocalQuality, 単独:Low HistCorr, 単独:High LocalQualityStd",High
00000005_007,model1_TAA_standard,E:\Analysis\images_base\00000005_007.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000005_007_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9422,0.9896,34.97,0.2538,1.08,-30.4,59.87,-0.1,7.771,2.86,0.41,40.7,348.89,56.81,405.7,1.18,0.3584851301633254,5.882642939686775,0.9404,0.0729,0.0458,0.8859,118.38713455200195,58.2,4,"P4:Artifacts高, 単独:High Noise, 単独:High Artifacts, 単独:High DeltaE",Medium
00000006_000,model1_TAA_standard,E:\Analysis\images_base\00000006_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000006_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.977,0.9929,35.14,0.1188,1.08,-78.7,57.03,-0.3,7.552,2.15,0.27,-54.1,225.01,62.33,287.34,1.09,0.287430065980254,4.126418977975845,0.9655,0.085,0.0875,0.7699,181.2777166366577,55.2,2,"P1:SSIM高×PSNR低, 単独:Low HighFreq",Low
00000007_000,model1_TAA_standard,E:\Analysis\images_base\00000007_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000007_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9769,0.9922,34.49,0.0983,2.62,-51.5,58.62,-0.2,7.576,2.77,0.8,-14.0,301.83,57.36,359.19,1.13,0.3937984880952806,4.868475459516048,0.9708,0.0645,0.0979,0.8139,182.85616970062256,56.5,5,"P1:SSIM高×PSNR低, P2:シャープ高×Noise高, 単独:Low PSNR, 単独:High Noise, 単独:High DeltaE",High
00000008_000,model1_TAA_standard,E:\Analysis\images_base\00000008_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000008_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9735,0.9927,39.91,0.1398,0.72,9.9,57.2,-1.0,7.451,2.51,0.28,71.3,290.35,64.54,354.89000000000004,1.0,0.3552212489264462,4.768507098779082,0.9727,0.018,0.6099,0.9799,158.18905639648438,55.8,0,None,Normal
